gpr_mean,true_y,gpr_lwr,gpr_upr,day,cf_mean
9.593509388203417e-07,0.0,5.648387771153004e-07,1.3538631005253832e-06,343,9.593509388203417e-07
9.601127714237172e-07,0.0,5.656001524723122e-07,1.3546253903751222e-06,344,9.601127714237172e-07
9.608271979152545e-07,0.0,5.66314120369989e-07,1.35534027546052e-06,345,9.608271979152545e-07
9.614948808782504e-07,2.339011674007265e-06,5.669813467312041e-07,1.3560084150252968e-06,346,9.614948808782504e-07
9.621165342734967e-07,2.385957210243392e-06,5.676025487052083e-07,1.356630519841785e-06,347,9.621165342734967e-07
9.626929223253255e-07,4.683347188235432e-06,5.681784935495879e-07,1.3572073511010629e-06,348,9.626929223253255e-07
9.632248583458032e-07,0.0,5.687099974509366e-07,1.3577397192406697e-06,349,9.632248583458032e-07
9.637132034982221e-07,0.0,5.691979242854492e-07,1.3582284827109952e-06,350,9.637132034982221e-07
9.64158865501267e-07,0.0,5.696431843206664e-07,1.3586745466818679e-06,351,9.64158865501267e-07
9.645627972751458e-07,4.192379930238798e-06,5.700467328596503e-07,1.3590788616906414e-06,352,9.645627972751458e-07
9.649259955313423e-07,0.0,5.704095688292203e-07,1.3594424222334643e-06,353,9.649259955313423e-07
9.652494993073787e-07,0.0,5.70732733313512e-07,1.3597662653012454e-06,354,9.652494993073787e-07
9.655343884483584e-07,0.0,5.710173080346694e-07,1.3600514688620475e-06,355,9.655343884483584e-07
9.65781782037031e-07,0.0,5.712644137822929e-07,1.360299150291769e-06,356,9.65781782037031e-07
9.659928367741887e-07,0.0,5.71475208793427e-07,1.3605104647549505e-06,357,9.659928367741887e-07
9.661687453112336e-07,0.0,5.716508870849251e-07,1.360686603537542e-06,358,9.661687453112336e-07
9.66310734536957e-07,0.0,5.717926767401132e-07,1.3608287923338009e-06,359,9.66310734536957e-07
9.664200638206593e-07,0.0,5.719018381519319e-07,1.3609382894893867e-06,360,9.664200638206593e-07
9.664980232135318e-07,2.0044378253453147e-06,5.719796622243655e-07,1.3610163842026983e-06,361,9.664980232135318e-07
9.6654593161066e-07,0.0,5.720274685345537e-07,1.3610643946867663e-06,362,9.6654593161066e-07
9.665651348758373e-07,7.415042154514648e-06,5.720466034577062e-07,1.3610836662939683e-06,363,9.665651348758373e-07
9.665570039314986e-07,0.0,5.720384382571453e-07,1.3610755696058522e-06,364,9.665570039314986e-07
9.665229328161746e-07,1.938465355747162e-06,5.7200436714182e-07,1.3610414984905292e-06,365,9.665229328161746e-07
9.664643367118723e-07,0.0,5.719458052937436e-07,1.3609828681300012e-06,366,9.664643367118723e-07
9.663826499438465e-07,0.0,5.718641868677381e-07,1.3609011130199551e-06,367,9.663826499438465e-07
9.662793239553899e-07,0.0,5.717609629662235e-07,1.3607976849445565e-06,368,9.662793239553899e-07
9.661558252600068e-07,1.7064496972758236e-06,5.716375995912805e-07,1.3606740509287331e-06,369,9.661558252600068e-07
9.66013633373779e-07,1.939345044391608e-06,5.714955755769363e-07,1.3605316911706215e-06,370,9.66013633373779e-07
9.658542387305756e-07,0.0,5.71336380504266e-07,1.360372096956885e-06,371,9.658542387305756e-07
