tfe_mean,tfe_lwr,tfe_upr
1.312,0.698,1.927
1.437,0.823,2.05
0.931,0.317,1.546
1.26,0.647,1.873
1.351,0.738,1.963
1.381,0.768,1.994
0.966,0.35,1.582
1.181,0.562,1.799
3.918,3.262,4.574
4.27,3.619,4.921
4.561,3.908,5.214
4.272,3.621,4.922
4.012,3.364,4.661
3.739,3.089,4.389
4.569,3.924,5.213
3.636,3.01,4.262
3.427,2.808,4.046
3.377,2.76,3.995
3.676,3.058,4.294
3.809,3.194,4.424
3.801,3.184,4.418
3.7,3.073,4.326
3.828,3.191,4.465
3.851,3.212,4.49
3.438,2.785,4.09
4.117,3.466,4.768
2.354,1.71,2.998
2.692,2.049,3.334
2.512,1.874,3.15
2.237,1.602,2.871
3.152,2.509,3.795
2.463,1.83,3.095
4.687,4.003,5.37
3.474,2.848,4.1
3.148,2.527,3.769
3.102,2.477,3.727
3.389,2.765,4.013
3.511,2.887,4.134
3.48,2.859,4.101
1.718,1.083,2.352
1.853,1.211,2.495
2.426,1.778,3.073
2.039,1.385,2.693
2.765,2.107,3.423
6.013,5.067,6.96
6.053,5.109,6.998
5.917,4.973,6.861
4.639,3.7,5.579
4.726,3.787,5.665
4.779,3.84,5.718
3.872,2.915,4.829
1.379,0.434,2.324
0.856,-0.077,1.789
0.655,-0.277,1.586
0.676,-0.255,1.608
0.688,-0.244,1.621
0.778,-0.155,1.711
0.968,0.032,1.903
1.778,0.843,2.714
1.785,0.852,2.718
1.593,0.661,2.525
1.623,0.692,2.554
1.631,0.699,2.563
1.699,0.766,2.632
1.891,0.955,2.826
0.892,-0.049,1.833
0.878,-0.062,1.818
0.525,-0.41,1.459
0.572,-0.362,1.505
0.574,-0.359,1.507
0.675,-0.257,1.608
0.885,-0.049,1.818
2.855,1.912,3.798
2.943,2.009,3.877
2.843,1.912,3.775
2.951,2.02,3.883
3.01,2.078,3.942
3.1,2.166,4.034
3.297,2.362,4.232
1.998,1.043,2.953
3.164,2.229,4.099
2.987,2.052,3.922
3.499,2.564,4.434
3.009,2.075,3.943
3.569,2.633,4.506
3.773,2.836,4.711
3.344,2.36,4.329
3.022,2.087,3.958
2.812,1.878,3.746
2.383,1.444,3.321
2.869,1.935,3.802
2.443,1.502,3.383
3.127,2.189,4.065
7.176,6.214,8.137
5.807,4.871,6.743
5.578,4.644,6.513
5.609,4.675,6.544
5.151,4.216,6.087
5.227,4.29,6.164
5.452,4.514,6.39
-0.352,-0.98,0.275
0.005,-0.62,0.63
-0.197,-0.819,0.425
-0.473,-1.092,0.146
-0.072,-0.693,0.549
-0.306,-0.929,0.317
-0.162,-0.779,0.456
0.446,-0.169,1.061
0.239,-0.374,0.852
0.183,-0.43,0.796
0.494,-0.12,1.107
0.132,-0.478,0.743
0.129,-0.481,0.739
-0.05,-0.661,0.561
0.012,-0.6,0.624
0.038,-0.575,0.65
0.607,-0.014,1.227
0.328,-0.29,0.946
-0.193,-0.823,0.437
0.153,-0.474,0.779
-0.044,-0.668,0.579
-0.324,-0.945,0.296
-0.075,-0.695,0.544
-0.296,-0.912,0.32
0.024,-0.589,0.638
0.627,0.014,1.239
0.386,-0.225,0.997
0.314,-0.297,0.925
0.63,0.019,1.241
0.27,-0.339,0.879
0.265,-0.343,0.873
0.1,-0.51,0.71
0.673,0.056,1.29
0.215,-0.399,0.829
0.284,-0.332,0.901
0.991,0.369,1.613
-0.239,-0.87,0.391
0.095,-0.531,0.722
-0.121,-0.744,0.503
-0.406,-1.027,0.214
-0.147,-0.767,0.473
-0.351,-0.967,0.265
-0.023,-0.637,0.59
0.568,-0.044,1.18
0.296,-0.316,0.907
0.195,-0.416,0.806
0.482,-0.13,1.093
0.114,-0.494,0.722
0.106,-0.501,0.714
